last	I(Rl)
1.000000000000000e+000	4.999998e-003
2.010000000000000e+002	4.999996e-003
4.010000000000000e+002	4.999993e-003
6.010000000000000e+002	4.999992e-003
8.010000000000000e+002	4.999989e-003
1.001000000000000e+003	4.999987e-003
1.201000000000000e+003	4.999985e-003
1.401000000000000e+003	4.999983e-003
1.601000000000000e+003	4.999981e-003
1.801000000000000e+003	4.999978e-003
2.001000000000000e+003	4.999977e-003
2.201000000000000e+003	4.999974e-003
2.401000000000000e+003	4.924077e-003
2.601000000000000e+003	4.782521e-003
2.801000000000000e+003	4.599665e-003
3.001000000000000e+003	4.366411e-003
3.201000000000000e+003	4.122809e-003
3.300000000000000e+003	4.008366e-003
